type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,602,30,326,334,445,317,121,378,193,219,149,56,133,224,308,109
0,602,30,330,334,445,317,121,378,193,219,153,56,133,224,308,109
0,602,30,330,332,445,317,121,378,193,219,153,54,134,224,308,109
0,602,30,330,332,445,315,121,378,193,219,153,54,134,222,308,109
0,602,30,330,332,445,315,119,378,193,219,153,54,134,222,305,109
0,606,30,330,332,445,315,119,378,194,219,153,54,134,222,305,110
0,606,35,330,332,445,315,119,378,194,220,153,54,134,222,305,110
0,606,35,326,332,445,315,119,378,194,220,150,54,134,222,305,110
0,606,35,326,338,442,315,119,378,194,220,150,60,131,222,305,110
0,606,35,326,338,442,313,119,378,194,220,150,60,131,221,305,110
0,606,35,326,338,442,313,118,378,194,220,150,60,131,221,304,110
0,614,35,326,338,442,313,118,375,195,220,150,60,131,221,304,106
0,614,35,326,338,442,313,118,375,195,218,150,60,131,221,304,106
0,614,35,328,338,442,313,118,375,195,218,153,60,131,221,304,106
0,614,35,328,333,447,313,118,375,195,218,153,55,133,221,304,106
0,614,35,328,333,447,313,118,375,195,218,153,55,133,222,304,106
0,614,35,328,333,447,313,123,375,195,218,153,55,133,222,308,106
0,609,35,328,333,447,313,123,380,191,218,153,55,133,222,308,108
0,609,34,328,333,447,313,123,380,191,215,153,55,133,222,308,108
0,609,34,326,333,447,313,123,380,191,215,151,55,133,222,308,108
0,609,34,326,334,453,313,123,380,191,215,151,56,135,222,308,108
0,609,34,326,334,453,321,123,380,191,215,151,56,135,230,308,108
0,609,34,326,334,453,321,119,380,191,215,151,56,135,230,304,108
0,610,34,326,334,453,321,119,382,191,215,151,56,135,230,304,109
0,610,31,326,334,453,321,119,382,191,210,151,56,135,230,304,109
0,610,31,326,334,453,321,119,382,191,210,152,56,135,230,304,109
0,610,31,326,335,451,321,119,382,191,210,152,57,130,230,304,109
0,610,31,326,335,451,314,119,382,191,210,152,57,130,223,304,109
0,610,31,326,335,451,314,124,382,191,210,152,57,130,223,309,109
0,614,31,326,335,451,314,124,380,196,210,152,57,130,223,309,107
0,614,31,326,335,451,314,124,380,196,209,152,57,130,223,309,107
