type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
13,714,43,418,435,458,383,133,496,221,252,164,100,153,245,393,135
13,714,43,418,435,453,383,133,496,221,252,164,100,150,245,393,135
13,714,43,418,435,453,381,133,496,221,252,164,100,150,245,391,135
13,714,43,418,435,453,381,133,484,221,252,164,100,150,245,391,128
13,709,43,418,435,453,381,133,484,216,252,164,100,150,245,391,128
13,709,43,418,435,453,381,133,484,216,247,166,100,150,245,391,128
13,709,43,418,430,453,381,133,484,216,247,166,97,150,245,391,128
13,709,43,418,430,451,381,133,484,216,247,166,97,149,245,391,128
13,709,43,418,430,451,383,140,484,216,247,166,97,149,250,396,128
13,709,43,418,430,451,383,140,510,216,247,166,97,149,250,396,135
13,768,43,418,430,451,383,140,510,221,247,166,97,149,250,396,135
13,768,51,417,430,451,383,140,510,221,248,170,97,149,250,396,135
13,768,51,417,426,451,383,140,510,221,248,170,93,149,250,396,135
13,768,51,417,426,472,383,140,510,221,248,170,93,156,250,396,135
13,768,51,417,426,472,384,149,510,221,248,170,93,156,259,405,135
13,768,51,417,426,472,384,149,556,221,248,170,93,156,259,405,146
13,834,51,417,426,472,384,149,556,221,248,170,93,156,259,405,146
13,834,55,419,426,472,384,149,556,221,247,177,93,156,259,405,146
13,834,55,419,435,472,384,149,556,221,247,177,96,156,259,405,146
13,834,55,419,435,517,384,149,556,221,247,177,96,170,259,405,146
13,834,55,419,435,517,395,163,556,221,247,177,96,170,279,421,146
13,834,55,419,435,517,395,163,611,221,247,177,96,170,279,421,160
13,902,55,419,435,517,395,163,611,229,247,177,96,170,279,421,160
13,902,63,430,435,517,395,163,611,229,252,192,96,170,279,421,160
13,902,63,430,453,517,395,163,611,229,252,192,99,170,279,421,160
13,902,63,430,453,583,395,163,611,229,252,192,99,191,279,421,160
13,902,63,430,453,583,412,180,611,229,252,192,99,191,303,443,160
13,902,63,430,453,583,412,180,661,229,252,192,99,191,303,443,166
13,954,63,430,453,583,412,180,661,229,252,192,99,191,303,443,166
13,954,62,452,453,583,412,180,661,229,250,213,99,191,303,443,166
13,954,62,452,471,583,412,180,661,229,250,213,97,191,303,443,166
13,954,62,452,471,650,412,180,661,229,250,213,97,205,303,443,166
13,954,62,452,471,650,434,197,661,229,250,213,97,205,328,471,166
13,954,62,452,471,650,434,197,722,229,250,213,97,205,328,471,180
13,1009,62,452,471,650,434,197,722,234,250,213,97,205,328,471,180
13,1009,66,472,471,650,434,197,722,234,252,230,97,205,328,471,180
13,1009,66,472,489,650,434,197,722,234,252,230,92,205,328,471,180
13,1009,66,472,489,718,434,197,722,234,252,230,92,221,328,471,180
13,1009,66,472,489,718,470,211,722,234,252,230,92,221,365,500,180
13,1009,66,472,489,718,470,211,789,234,252,230,92,221,365,500,195
13,1065,66,472,489,718,470,211,789,239,252,230,92,221,365,500,195
13,1065,71,501,489,718,470,211,789,239,258,251,92,221,365,500,195
13,1065,71,501,522,718,470,211,789,239,258,251,96,221,365,500,195
13,1065,71,501,522,789,470,211,789,239,258,251,96,239,365,500,195
13,1065,71,501,522,789,497,225,789,239,258,251,96,239,389,534,195
13,1065,71,501,522,789,497,225,855,239,258,251,96,239,389,534,206
13,1115,71,501,522,789,497,225,855,244,258,251,96,239,389,534,206
13,1115,72,531,522,789,497,225,855,244,258,270,96,239,389,534,206
13,1115,72,531,554,789,497,225,855,244,258,270,97,239,389,534,206
13,1115,72,531,554,846,497,225,855,244,258,270,97,249,389,534,206
13,1115,72,531,554,846,534,234,855,244,258,270,97,249,423,564,206
13,1115,72,531,554,846,534,234,930,244,258,270,97,249,423,564,223
13,1172,72,531,554,846,534,234,930,252,258,270,97,249,423,564,223
13,1172,72,568,554,846,534,234,930,252,259,293,97,249,423,564,223
13,1172,72,568,584,846,534,234,930,252,259,293,93,249,423,564,223
13,1172,72,568,584,906,534,234,930,252,259,293,93,267,423,564,223
13,1172,72,568,584,906,562,248,930,252,259,293,93,267,446,601,223
13,1172,72,568,584,906,562,248,1001,252,259,293,93,267,446,601,234
13,1221,72,568,584,906,562,248,1001,256,259,293,93,267,446,601,234
13,1221,78,599,584,906,562,248,1001,256,266,309,93,267,446,601,234
13,1221,78,599,621,906,562,248,1001,256,266,309,95,267,446,601,234
13,1221,78,599,621,965,562,248,1001,256,266,309,95,284,446,601,234
13,1221,78,599,621,965,600,262,1001,256,266,309,95,284,477,639,234
13,1221,78,599,621,965,600,262,1080,256,266,309,95,284,477,639,251
13,1269,78,599,621,965,600,262,1080,263,266,309,95,284,477,639,251
13,1269,77,631,621,965,600,262,1080,263,266,324,95,284,477,639,251
13,1269,77,631,660,965,600,262,1080,263,266,324,96,284,477,639,251
13,1269,77,631,660,1010,600,262,1080,263,266,324,96,292,477,639,251
13,1269,77,631,660,1010,635,274,1080,263,266,324,96,292,505,673,251
13,1269,77,631,660,1010,635,274,1161,263,266,324,96,292,505,673,265
13,1318,77,631,660,1010,635,274,1161,268,266,324,96,292,505,673,265
13,1318,84,664,660,1010,635,274,1161,268,274,341,96,292,505,673,265
13,1318,84,664,695,1010,635,274,1161,268,274,341,96,292,505,673,265
13,1318,84,664,695,1063,635,274,1161,268,274,341,96,310,505,673,265
13,1318,84,664,695,1063,661,286,1161,268,274,341,96,310,524,709,265
13,1318,84,664,695,1063,661,286,1242,268,274,341,96,310,524,709,285
13,1363,84,664,695,1063,661,286,1242,277,274,341,96,310,524,709,285
13,1363,82,700,695,1063,661,286,1242,277,274,360,96,310,524,709,285
13,1363,82,700,733,1063,661,286,1242,277,274,360,99,310,524,709,285
13,1363,82,700,733,1096,661,286,1242,277,274,360,99,316,524,709,285
13,1363,82,700,733,1096,698,296,1242,277,274,360,99,316,555,739,285
13,1363,82,700,733,1096,698,296,1312,277,274,360,99,316,555,739,296
13,1408,82,700,733,1096,698,296,1312,285,274,360,99,316,555,739,296
13,1408,88,732,733,1096,698,296,1312,285,281,374,99,316,555,739,296
13,1408,88,732,763,1096,698,296,1312,285,281,374,97,316,555,739,296
13,1408,88,732,763,1138,698,296,1312,285,281,374,97,328,555,739,296
13,1408,88,732,763,1138,725,306,1312,285,281,374,97,328,575,770,296
13,1408,88,732,763,1138,725,306,1383,285,281,374,97,328,575,770,312
13,1443,88,732,763,1138,725,306,1383,290,281,374,97,328,575,770,312
13,1443,86,756,763,1138,725,306,1383,290,281,383,97,328,575,770,312
13,1443,86,756,795,1138,725,306,1383,290,281,383,95,328,575,770,312
13,1443,86,756,795,1170,725,306,1383,290,281,383,95,339,575,770,312
13,1443,86,756,795,1170,752,312,1383,290,281,383,95,339,597,796,312
13,1443,86,756,795,1170,752,312,1457,290,281,383,95,339,597,796,330
13,1485,86,756,795,1170,752,312,1457,298,281,383,95,339,597,796,330
13,1485,88,793,795,1170,752,312,1457,298,284,404,95,339,597,796,330
13,1485,88,793,830,1170,752,312,1457,298,284,404,100,339,597,796,330
13,1485,88,793,830,1197,752,312,1457,298,284,404,100,348,597,796,330
13,1485,88,793,830,1197,778,317,1457,298,284,404,100,348,616,818,330
13,1485,88,793,830,1197,778,317,1519,298,284,404,100,348,616,818,342
13,1519,88,793,830,1197,778,317,1519,304,284,404,100,348,616,818,342
13,1519,98,819,830,1197,778,317,1519,304,296,415,100,348,616,818,342
13,1519,98,819,861,1197,778,317,1519,304,296,415,101,348,616,818,342
13,1519,98,819,861,1226,778,317,1519,304,296,415,101,359,616,818,342
13,1519,98,819,861,1226,800,333,1519,304,296,415,101,359,632,851,342
13,1519,98,819,861,1226,800,333,1581,304,296,415,101,359,632,851,351
13,1549,98,819,861,1226,800,333,1581,310,296,415,101,359,632,851,351
13,1549,96,842,861,1226,800,333,1581,310,296,423,101,359,632,851,351
13,1549,96,842,883,1226,800,333,1581,310,296,423,96,359,632,851,351
13,1549,96,842,883,1250,800,333,1581,310,296,423,96,365,632,851,351
13,1549,96,842,883,1250,820,340,1581,310,296,423,96,365,647,873,351
13,1549,96,842,883,1250,820,340,1645,310,296,423,96,365,647,873,369
13,1582,96,842,883,1250,820,340,1645,319,296,423,96,365,647,873,369
13,1582,95,870,883,1250,820,340,1645,319,297,437,96,365,647,873,369
13,1582,95,870,911,1250,820,340,1645,319,297,437,102,365,647,873,369
13,1582,95,870,911,1272,820,340,1645,319,297,437,102,373,647,873,369
13,1582,95,870,911,1272,840,346,1645,319,297,437,102,373,662,893,369
13,1582,95,870,911,1272,840,346,1691,319,297,437,102,373,662,893,377
13,1600,95,870,911,1272,840,346,1691,321,297,437,102,373,662,893,377
13,1600,98,893,911,1272,840,346,1691,321,301,447,102,373,662,893,377
13,1600,98,893,933,1272,840,346,1691,321,301,447,98,373,662,893,377
13,1600,98,893,933,1293,840,346,1691,321,301,447,98,381,662,893,377
13,1600,98,893,933,1293,858,350,1691,321,301,447,98,381,675,910,377
13,1600,98,893,933,1293,858,350,1741,321,301,447,98,381,675,910,389
13,1626,98,893,933,1293,858,350,1741,330,301,447,98,381,675,910,389
13,1626,100,917,933,1293,858,350,1741,330,306,458,98,381,675,910,389
13,1626,100,917,954,1293,858,350,1741,330,306,458,98,381,675,910,389
13,1626,100,917,954,1313,858,350,1741,330,306,458,98,391,675,910,389
13,1626,100,917,954,1313,875,356,1741,330,306,458,98,391,687,927,389
13,1626,100,917,954,1313,875,356,1790,330,306,458,98,391,687,927,405
13,1643,100,917,954,1313,875,356,1790,334,306,458,98,391,687,927,405
13,1643,103,935,954,1313,875,356,1790,334,311,465,98,391,687,927,405
13,1643,103,935,977,1313,875,356,1790,334,311,465,101,391,687,927,405
13,1643,103,935,977,1328,875,356,1790,334,311,465,101,397,687,927,405
13,1643,103,935,977,1328,894,359,1790,334,311,465,101,397,699,941,405
13,1643,103,935,977,1328,894,359,1831,334,311,465,101,397,699,941,420
13,1664,103,935,977,1328,894,359,1831,339,311,465,101,397,699,941,420
13,1664,107,954,977,1328,894,359,1831,339,317,473,101,397,699,941,420
13,1664,107,954,995,1328,894,359,1831,339,317,473,100,397,699,941,420
13,1664,107,954,995,1342,894,359,1831,339,317,473,100,402,699,941,420
13,1664,107,954,995,1342,908,365,1831,339,317,473,100,402,707,960,420
13,1664,107,954,995,1342,908,365,1875,339,317,473,100,402,707,960,430
13,1685,107,954,995,1342,908,365,1875,347,317,473,100,402,707,960,430
13,1685,106,970,995,1342,908,365,1875,347,318,477,100,402,707,960,430
13,1685,106,970,1013,1342,908,365,1875,347,318,477,104,402,707,960,430
13,1685,106,970,1013,1350,908,365,1875,347,318,477,104,404,707,960,430
13,1685,106,970,1013,1350,928,372,1875,347,318,477,104,404,722,976,430
13,1685,106,970,1013,1350,928,372,1909,347,318,477,104,404,722,976,440
13,1701,106,970,1013,1350,928,372,1909,353,318,477,104,404,722,976,440
13,1701,111,986,1013,1350,928,372,1909,353,325,484,104,404,722,976,440
13,1701,111,986,1031,1350,928,372,1909,353,325,484,102,404,722,976,440
13,1701,111,986,1031,1361,928,372,1909,353,325,484,102,407,722,976,440
13,1701,111,986,1031,1361,939,376,1909,353,325,484,102,407,728,991,440
13,1701,111,986,1031,1361,939,376,1938,353,325,484,102,407,728,991,446
13,1717,111,986,1031,1361,939,376,1938,357,325,484,102,407,728,991,446
13,1717,107,999,1031,1361,939,376,1938,357,324,488,102,407,728,991,446
13,1717,107,999,1046,1361,939,376,1938,357,324,488,102,407,728,991,446
13,1717,107,999,1046,1376,939,376,1938,357,324,488,102,416,728,991,446
13,1717,107,999,1046,1376,952,378,1938,357,324,488,102,416,737,1002,446
13,1717,107,999,1046,1376,952,378,1970,357,324,488,102,416,737,1002,458
13,1730,107,999,1046,1376,952,378,1970,362,324,488,102,416,737,1002,458
13,1730,108,1020,1046,1376,952,378,1970,362,328,499,102,416,737,1002,458
13,1730,108,1020,1062,1376,952,378,1970,362,328,499,104,416,737,1002,458
13,1730,108,1020,1062,1386,952,378,1970,362,328,499,104,420,737,1002,458
13,1730,108,1020,1062,1386,963,379,1970,362,328,499,104,420,742,1010,458
13,1730,108,1020,1062,1386,963,379,1994,362,328,499,104,420,742,1010,462
13,1741,108,1020,1062,1386,963,379,1994,366,328,499,104,420,742,1010,462
13,1741,111,1032,1062,1386,963,379,1994,366,333,503,104,420,742,1010,462
13,1741,111,1032,1074,1386,963,379,1994,366,333,503,103,420,742,1010,462
13,1741,111,1032,1074,1387,963,379,1994,366,333,503,103,420,742,1010,462
13,1741,111,1032,1074,1387,974,386,1994,366,333,503,103,420,750,1024,462
13,1741,111,1032,1074,1387,974,386,2017,366,333,503,103,420,750,1024,470
13,1758,111,1032,1074,1387,974,386,2017,373,333,503,103,420,750,1024,470
13,1758,118,1039,1074,1387,974,386,2017,373,342,503,103,420,750,1024,470
13,1758,118,1039,1084,1387,974,386,2017,373,342,503,102,420,750,1024,470
13,1758,118,1039,1084,1391,974,386,2017,373,342,503,102,421,750,1024,470
13,1758,118,1039,1084,1391,984,386,2017,373,342,503,102,421,757,1030,470
13,1758,118,1039,1084,1391,984,386,2037,373,342,503,102,421,757,1030,479
13,1767,118,1039,1084,1391,984,386,2037,377,342,503,102,421,757,1030,479
13,1767,113,1050,1084,1391,984,386,2037,377,340,506,102,421,757,1030,479
13,1767,113,1050,1097,1391,984,386,2037,377,340,506,107,421,757,1030,479
13,1767,113,1050,1097,1406,984,386,2037,377,340,506,107,431,757,1030,479
13,1767,113,1050,1097,1406,993,386,2037,377,340,506,107,431,762,1034,479
13,1767,113,1050,1097,1406,993,386,2052,377,340,506,107,431,762,1034,484
13,1775,113,1050,1097,1406,993,386,2052,382,340,506,107,431,762,1034,484
13,1775,116,1062,1097,1406,993,386,2052,382,345,511,107,431,762,1034,484
13,1775,116,1062,1104,1406,993,386,2052,382,345,511,102,431,762,1034,484
13,1775,116,1062,1104,1410,993,386,2052,382,345,511,102,431,762,1034,484
13,1775,116,1062,1104,1410,1000,395,2052,382,345,511,102,431,765,1050,484
13,1775,116,1062,1104,1410,1000,395,2069,382,345,511,102,431,765,1050,489
13,1779,116,1062,1104,1410,1000,395,2069,384,345,511,102,431,765,1050,489
13,1779,121,1073,1104,1410,1000,395,2069,384,351,516,102,431,765,1050,489
13,1779,121,1073,1114,1410,1000,395,2069,384,351,516,102,431,765,1050,489
13,1779,121,1073,1114,1409,1000,395,2069,384,351,516,102,429,765,1050,489
13,1779,121,1073,1114,1409,1008,392,2069,384,351,516,102,429,769,1051,489
13,1779,121,1073,1114,1409,1008,392,2085,384,351,516,102,429,769,1051,495
13,1787,121,1073,1114,1409,1008,392,2085,390,351,516,102,429,769,1051,495
13,1787,119,1083,1114,1409,1008,392,2085,390,352,520,102,429,769,1051,495
13,1787,119,1083,1124,1409,1008,392,2085,390,352,520,106,429,769,1051,495
13,1787,119,1083,1124,1417,1008,392,2085,390,352,520,106,435,769,1051,495
13,1787,119,1083,1124,1417,1010,395,2085,390,352,520,106,435,770,1059,495
13,1787,119,1083,1124,1417,1010,395,2102,390,352,520,106,435,770,1059,500
13,1800,119,1083,1124,1417,1010,395,2102,397,352,520,106,435,770,1059,500
13,1800,121,1087,1124,1417,1010,395,2102,397,357,520,106,435,770,1059,500
13,1800,121,1087,1136,1417,1010,395,2102,397,357,520,108,435,770,1059,500
13,1800,121,1087,1136,1419,1010,395,2102,397,357,520,108,434,770,1059,500
13,1800,121,1087,1136,1419,1022,400,2102,397,357,520,108,434,778,1069,500
13,1800,121,1087,1136,1419,1022,400,2106,397,357,520,108,434,778,1069,503
13,1797,121,1087,1136,1419,1022,400,2106,395,357,520,108,434,778,1069,503
13,1797,122,1097,1136,1419,1022,400,2106,395,359,522,108,434,778,1069,503
13,1797,122,1097,1136,1419,1022,400,2106,395,359,522,104,434,778,1069,503
13,1797,122,1097,1136,1419,1022,400,2106,395,359,522,104,434,778,1069,503
13,1797,122,1097,1136,1419,1029,401,2106,395,359,522,104,434,781,1074,503
13,1797,122,1097,1136,1419,1029,401,2114,395,359,522,104,434,781,1074,506
13,1798,122,1097,1136,1419,1029,401,2114,396,359,522,104,434,781,1074,506
13,1798,123,1105,1136,1419,1029,401,2114,396,364,526,104,434,781,1074,506
13,1798,123,1105,1148,1419,1029,401,2114,396,364,526,107,434,781,1074,506
13,1798,123,1105,1148,1419,1029,401,2114,396,364,526,107,435,781,1074,506
13,1798,123,1105,1148,1419,1030,398,2114,396,364,526,107,435,781,1074,506
13,1798,123,1105,1148,1419,1030,398,2124,396,364,526,107,435,781,1074,511
13,1807,123,1105,1148,1419,1030,398,2124,404,364,526,107,435,781,1074,511
13,1807,123,1108,1148,1419,1030,398,2124,404,366,526,107,435,781,1074,511
13,1807,123,1108,1154,1419,1030,398,2124,404,366,526,108,435,781,1074,511
13,1807,123,1108,1154,1423,1030,398,2124,404,366,526,108,437,781,1074,511
13,1807,123,1108,1154,1423,1031,403,2124,404,366,526,108,437,780,1082,511
13,1807,123,1108,1154,1423,1031,403,2139,404,366,526,108,437,780,1082,519
13,1813,123,1108,1154,1423,1031,403,2139,408,366,526,108,437,780,1082,519
13,1813,122,1115,1154,1423,1031,403,2139,408,367,527,108,437,780,1082,519
13,1813,122,1115,1162,1423,1031,403,2139,408,367,527,110,437,780,1082,519
13,1813,122,1115,1162,1426,1031,403,2139,408,367,527,110,442,780,1082,519
13,1813,122,1115,1162,1426,1039,399,2139,408,367,527,110,442,785,1081,519
13,1813,122,1115,1162,1426,1039,399,2145,408,367,527,110,442,785,1081,520
13,1820,122,1115,1162,1426,1039,399,2145,413,367,527,110,442,785,1081,520
13,1820,123,1120,1162,1426,1039,399,2145,413,369,529,110,442,785,1081,520
13,1820,123,1120,1167,1426,1039,399,2145,413,369,529,110,442,785,1081,520
13,1820,123,1120,1167,1431,1039,399,2145,413,369,529,110,445,785,1081,520
13,1820,123,1120,1167,1431,1042,405,2145,413,369,529,110,445,787,1092,520
13,1820,123,1120,1167,1431,1042,405,2149,413,369,529,110,445,787,1092,520
13,1827,123,1120,1167,1431,1042,405,2149,416,369,529,110,445,787,1092,520
13,1827,123,1125,1167,1431,1042,405,2149,416,372,530,110,445,787,1092,520
13,1827,123,1125,1171,1431,1042,405,2149,416,372,530,110,445,787,1092,520
13,1827,123,1125,1171,1431,1042,405,2149,416,372,530,110,446,787,1092,520
13,1827,123,1125,1171,1431,1049,406,2149,416,372,530,110,446,791,1095,520
13,1827,123,1125,1171,1431,1049,406,2158,416,372,530,110,446,791,1095,525
13,1826,123,1125,1171,1431,1049,406,2158,416,372,530,110,446,791,1095,525
13,1826,130,1130,1171,1431,1049,406,2158,416,381,532,110,446,791,1095,525
13,1826,130,1130,1178,1431,1049,406,2158,416,381,532,113,446,791,1095,525
