type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
19,692,39,423,434,437,384,134,481,218,253,164,113,151,246,391,133
19,692,39,415,431,437,384,134,481,218,253,161,114,151,246,391,133
19,692,39,415,431,430,384,134,481,218,253,161,114,145,246,391,133
19,692,39,415,431,430,373,134,481,218,253,161,114,145,237,391,133
19,692,39,415,431,430,373,130,483,218,253,161,114,145,237,384,139
19,705,39,415,431,430,373,130,483,220,253,161,114,145,237,384,139
19,705,46,415,431,430,373,130,483,220,253,161,114,145,237,384,139
19,705,46,415,427,430,373,130,483,220,253,164,112,145,237,384,139
19,705,46,415,427,434,373,130,483,220,253,164,112,148,237,384,139
19,705,46,415,427,434,378,130,483,220,253,164,112,148,247,384,139
19,705,46,415,427,434,378,142,509,220,253,164,112,148,247,394,141
19,772,46,415,427,434,378,142,509,217,253,164,112,148,247,394,141
19,772,52,415,427,434,378,142,509,217,251,164,112,148,247,394,141
19,772,52,414,427,434,378,142,509,217,251,167,109,148,247,394,141
19,772,52,414,427,465,378,142,509,217,251,167,109,161,247,394,141
19,772,52,414,427,465,385,142,509,217,251,167,109,161,264,394,141
19,772,52,414,427,465,385,149,567,217,251,167,109,161,264,401,157
19,847,52,414,427,465,385,149,567,221,251,167,109,161,264,401,157
19,847,60,414,427,465,385,149,567,221,255,167,109,161,264,401,157
19,847,60,426,435,465,385,149,567,221,255,184,108,161,264,401,157
19,847,60,426,435,523,385,149,567,221,255,184,108,179,264,401,157
19,847,60,426,435,523,396,149,567,221,255,184,108,179,284,401,157
19,847,60,426,435,523,396,168,628,221,255,184,108,179,284,422,170
19,918,60,426,435,523,396,168,628,228,255,184,108,179,284,422,170
19,918,61,426,435,523,396,168,628,228,254,184,108,179,284,422,170
19,918,61,441,454,523,396,168,628,228,254,202,110,179,284,422,170
19,918,61,441,454,593,396,168,628,228,254,202,110,197,284,422,170
19,918,61,441,454,593,424,168,628,228,254,202,110,197,321,422,170
19,918,61,441,454,593,424,190,693,228,254,202,110,197,321,452,180
19,990,61,441,454,593,424,190,693,236,254,202,110,197,321,452,180
19,990,65,441,454,593,424,190,693,236,258,202,110,197,321,452,180
19,990,65,467,483,593,424,190,693,236,258,225,113,197,321,452,180
19,990,65,467,483,678,424,190,693,236,258,225,113,220,321,452,180
19,990,65,467,483,678,456,190,693,236,258,225,113,220,358,452,180
19,990,65,467,483,678,456,207,777,236,258,225,113,220,358,485,201
19,1054,65,467,483,678,456,207,777,241,258,225,113,220,358,485,201
19,1054,67,467,483,678,456,207,777,241,259,225,113,220,358,485,201
19,1054,67,504,505,678,456,207,777,241,259,256,104,220,358,485,201
19,1054,67,504,505,758,456,207,777,241,259,256,104,238,358,485,201
19,1054,67,504,505,758,489,207,777,241,259,256,104,238,392,485,201
19,1054,67,504,505,758,489,228,857,241,259,256,104,238,392,528,215
19,1114,67,504,505,758,489,228,857,242,259,256,104,238,392,528,215
19,1114,72,504,505,758,489,228,857,242,263,256,104,238,392,528,215
