target,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
0,623,35,337,341,487,328,125,398,198,209,155,54,137,231,314,106
10,1769,113,1115,1153,1346,1047,382,2019,433,460,498,130,420,738,1049,519
11,1815,121,1114,1184,1364,1066,379,1972,438,458,493,128,441,783,1090,550
12,1726,114,1101,1140,1350,1024,375,2001,432,452,488,101,417,723,1037,496
13,1718,118,1116,1156,1295,1016,379,1929,431,450,511,101,420,758,1061,512
14,1638,99,984,1022,1228,928,339,1741,388,410,435,121,373,656,926,419
15,1722,123,1143,1179,1367,1037,402,1996,438,437,519,134,437,753,1074,525
16,1493,81,845,917,1134,803,291,1440,352,333,375,100,325,566,840,349
17,1717,108,1062,1059,1252,983,351,1819,408,433,452,129,387,682,972,493
18,1693,103,1010,1050,1231,932,343,1778,397,412,442,112,379,662,953,429
19,1701,104,1015,1048,1243,937,348,1788,397,408,446,120,384,669,960,433
1,496,34,299,304,404,289,111,311,176,199,141,46,121,206,279,92
20,1594,100,977,1028,1244,920,329,1778,388,406,420,97,363,632,938,413
2,626,35,341,346,494,329,123,399,199,220,156,55,135,229,314,106
3,1668,90,968,360,1278,860,325,1781,205,217,407,59,345,619,322,367
4,1891,125,1163,1206,1424,1085,384,2153,457,230,506,83,428,758,1106,551
7,1842,131,1181,1226,1388,1084,397,2276,466,482,517,81,433,770,1128,546
6,1887,131,1223,1261,1428,1121,421,2194,475,497,545,84,441,815,1145,605
7,1842,131,1181,1226,1388,1084,397,2276,466,482,517,81,433,770,1128,546
8,1837,119,1136,1180,1429,1072,387,2049,440,451,500,84,422,742,1080,538
9,1770,124,1128,1165,1340,1035,385,2072,438,276,500,119,421,741,1061,523
