type,MQ3,MQ135,TGS2600,TGS2602,TGS2603,TGS2609,TGS2610,SYG9,MQ137,MQ138,TGS2611,TGS2612,TGS2618,TGS2619,TGS2620,SY1B
18,603,33,342,356,343,311,114,393,197,229,141,91,126,208,324,113
18,603,33,342,352,343,311,114,393,197,229,141,90,126,208,324,113
18,603,33,342,352,336,309,114,393,197,229,141,90,121,207,324,113
18,603,33,342,352,336,309,113,393,197,229,141,90,121,207,323,113
18,603,33,342,352,336,309,113,393,197,229,141,90,121,207,323,115
18,610,39,342,352,336,309,113,393,197,230,141,90,121,207,323,115
18,610,39,335,352,336,309,113,393,197,230,137,90,121,207,323,115
18,610,39,335,352,336,309,113,393,197,230,137,92,121,207,323,115
18,610,39,335,352,339,310,113,393,197,230,137,92,123,211,323,115
18,610,39,335,352,339,310,112,393,197,230,137,92,123,211,319,115
18,610,39,335,352,339,310,112,412,197,230,137,92,123,211,319,117
18,669,46,335,352,339,310,112,412,194,231,137,92,123,211,319,117
18,669,46,336,352,339,310,112,412,194,231,143,92,123,211,319,117
18,669,46,336,353,339,310,112,412,194,231,143,90,123,211,319,117
18,669,46,336,353,364,315,112,412,194,231,143,90,128,222,319,117
18,669,46,336,353,364,315,123,412,194,231,143,90,128,222,329,117
18,669,46,336,353,364,315,123,453,194,231,143,90,128,222,329,130
18,742,50,336,353,364,315,123,453,201,231,143,90,128,222,329,130
18,742,50,341,353,364,315,123,453,201,231,151,90,128,222,329,130
18,742,50,341,359,364,315,123,453,201,231,151,88,128,222,329,130
18,742,50,341,359,420,325,123,453,201,231,151,88,145,240,329,130
18,742,50,341,359,420,325,136,453,201,231,151,88,145,240,342,130
18,742,50,341,359,420,325,136,501,201,231,151,88,145,240,342,141
18,806,54,341,359,420,325,136,501,206,234,151,88,145,240,342,141
18,806,54,354,359,420,325,136,501,206,234,167,88,145,240,342,141
18,806,54,354,372,420,325,136,501,206,234,167,88,145,240,342,141
18,806,54,354,372,494,345,136,501,206,234,167,88,165,267,342,141
18,806,54,354,372,494,345,156,501,206,234,167,88,165,267,367,141
18,806,54,354,372,494,345,156,552,206,234,167,88,165,267,367,149
18,869,58,354,372,494,345,156,552,212,238,167,88,165,267,367,149
18,869,58,375,372,494,345,156,552,212,238,189,88,165,267,367,149
18,869,58,375,393,494,345,156,552,212,238,189,90,165,267,367,149
18,869,58,375,393,573,368,156,552,212,238,189,90,182,296,367,149
18,869,58,375,393,573,368,172,552,212,238,189,90,182,296,391,149
18,869,58,375,393,573,368,172,619,212,238,189,90,182,296,391,166
18,924,61,375,393,573,368,172,619,210,242,189,90,182,296,391,166
18,924,61,401,393,573,368,172,619,210,242,213,90,182,296,391,166
18,924,61,401,417,573,368,172,619,210,242,213,87,182,296,391,166
18,924,61,401,417,663,405,172,619,210,242,213,87,205,334,391,166
18,924,61,401,417,663,405,195,619,210,242,213,87,205,334,430,166
18,924,61,401,417,663,405,195,688,210,242,213,87,205,334,430,177
18,992,61,401,417,663,405,195,688,218,242,213,87,205,334,430,177
18,992,61,433,417,663,405,195,688,218,242,236,87,205,334,430,177
18,992,61,433,453,663,405,195,688,218,242,236,91,205,334,430,177
18,992,61,433,453,740,444,195,688,218,242,236,91,219,370,430,177
18,992,61,433,453,740,444,207,688,218,242,236,91,219,370,464,177
18,992,61,433,453,740,444,207,770,218,242,236,91,219,370,464,194
18,1062,66,433,453,740,444,207,770,228,249,236,91,219,370,464,194
18,1062,66,466,453,740,444,207,770,228,249,256,91,219,370,464,194
18,1062,66,466,488,740,444,207,770,228,249,256,88,219,370,464,194
18,1062,66,466,488,818,481,207,770,228,249,256,88,238,401,464,194
