csv_name,PH,Brix,L*,a*,b*,C*,ho
70_0_1.csv,4.09,15,73.54,-19.56,57.94,61.15,108.65
70_1_1.csv,4.09,15,70.21,-18.78,58.93,61.85,107.68
70_2_1.csv,4.08,15.5,70.66,-17.85,59.12,61.76,106.8
70_3_1.csv,4.12,15,71.19,-17.28,60.01,62.45,106.06
70_4_1.csv,4.17,15.5,70.29,-15.58,60.33,62.31,104.48
70_5_1.csv,4.14,15.1,71.48,-11.75,61.61,62.72,100.8
70_6_1.csv,4.15,15.2,71.19,-11.07,58.6,59.64,100.7
70_7_1.csv,4.18,15.9,71.94,-9.53,57.29,58.08,99.45
70_8_1.csv,4.19,16,73.28,-8.09,55.51,56.09,98.29
70_9_1.csv,4.1,15.8,72.4,-10.2,56.45,57.85,100.13
70_10_1.csv,4.14,15,72,-10.34,56.75,57.68,100.32
70_11_1.csv,4.15,15,71.22,-10.15,57.18,58.08,100.06
70_12_1.csv,4.16,15,72.36,-9.93,57.13,57.99,99.85
70_13_1.csv,4.16,15,71.6,-8.18,57.59,58.17,98.08
70_15_1.csv,4.15,15,71.45,-7.19,56.47,56.92,97.25
70_17_1.csv,4.18,15,72.36,-6.09,53.03,58.35,95.99
70_20_1.csv,4.17,15.5,71.38,-5.93,53.13,53.46,96.37
70_0_2.csv,4.15,15.1,70.07,-18.45,58.7,61.53,107.45
70_1_2.csv,4.14,15.1,69.07,-19.18,57.57,60.69,108.43
70_2_2.csv,4.13,15,68.99,-17.29,60.38,62.81,105.98
70_3_2.csv,4.18,15,68.86,-16.17,60.89,63,104.87
70_4_2.csv,4.19,15.1,70.46,-15.55,59.16,61.17,104.73
70_5_2.csv,4.16,15.2,71.82,-11.39,57.97,59.08,101.12
70_6_2.csv,4.16,15.5,71.96,-9.56,59.05,59.82,99.2
70_7_2.csv,4.16,15.6,71.43,-8.05,55.67,56.24,98.23
70_8_2.csv,4.21,15.7,72.74,-8.79,54.2,54.91,99.21
70_9_2.csv,4.14,15,72.38,-9.87,55.86,58.01,99.8
70_10_2.csv,4.19,15,71.35,-10.4,56.35,57.3,100.46
70_11_2.csv,4.14,15,71.15,-9.01,55.3,56.03,99.25
70_12_2.csv,4.15,15,71,-7.39,54.71,55.2,97.69
70_13_2.csv,4.16,15,70.78,-7.74,56.95,57.47,97.74
70_15_2.csv,4.14,15,70.53,-7.03,56.42,56.86,97.1
70_17_2.csv,4.17,15,70.74,-6.79,54.68,55.1,97.08
70_20_2.csv,4.14,15.5,72.18,-5.53,53.63,53.92,95.89
70_0_3.csv,4.14,15.5,73.77,-17.69,63,65.44,105.69
70_1_3.csv,4.22,15.1,71.68,-16.93,60.38,62.71,105.67
70_2_3.csv,4.2,15.3,71.08,-16.9,61.46,63.74,105.38
70_3_3.csv,4.23,15.2,70.87,-16.41,61.61,63.76,104.92
70_4_3.csv,4.23,15.2,70.95,-15.14,60.68,62.54,104.01
70_5_3.csv,4.27,15.2,72.13,-10.47,61.58,62.46,99.65
70_6_3.csv,4.22,15.5,72.52,-9.68,61.37,62.13,98.96
70_7_3.csv,4.32,15.5,73.52,-7.94,58.09,62.59,97.29
70_8_3.csv,4.24,15.7,72.4,-9.14,53.73,54.5,99.66
70_9_3.csv,4.16,15,73.5,-9.1,53.79,54.56,99.61
70_10_3.csv,4.18,15,72.31,-8.78,54.52,55.22,99.15
70_11_3.csv,4.18,15,72,-8.21,54.89,55.5,98.51
70_12_3.csv,4.17,15,71.85,-7.79,55.59,56.13,97.97
70_13_3.csv,4.17,15,72.59,-7.22,53.76,54.25,97.64
70_15_3.csv,4.15,15,71.91,-5.86,52.64,52.97,96.36
70_17_3.csv,4.15,15,71.57,-4.86,55.36,53.58,95.21
70_20_3.csv,4.15,15.5,71.32,-4.85,55.92,51.15,95.44
70_0_4.csv,3.97,18.6,73.87,-15.21,64.96,66.72,103.17
70_1_4.csv,4.07,18.3,71.77,-15.5,64.51,66.34,103.51
