property_name,rank,group,feature_selection,fs_param,model,dataset_tag,best_param_json
a*,1,selected,cars,120,pls,a_/SELECTED_20260508_070214,"{""cv_fold"": 10, ""n_components"": 3}"
a*,2,selected,cars,120,pcr,a_/SELECTED_20260508_070214,"{""n_components"": 34}"
a*,3,selected,cars,120,svr,a_/SELECTED_20260508_070214,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,4,selected,cars,120,rf,a_/SELECTED_20260508_070214,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,5,selected,cars,120,gpr,a_/SELECTED_20260508_070214,"{""kernel"": ""squaredexponential""}"
a*,6,selected,cars,120,knn,a_/SELECTED_20260508_070214,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,7,selected,cars,120,cnn,a_/SELECTED_20260508_070214,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,8,selected,cars,120,xgb,a_/SELECTED_20260508_070214,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
a*,9,selected,cars,150,pls,a_/SELECTED_20260508_072832,"{""cv_fold"": 10, ""n_components"": 3}"
a*,10,selected,cars,150,pcr,a_/SELECTED_20260508_072832,"{""n_components"": 23}"
a*,11,selected,cars,150,svr,a_/SELECTED_20260508_072832,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,12,selected,cars,150,rf,a_/SELECTED_20260508_072832,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,13,selected,cars,150,gpr,a_/SELECTED_20260508_072832,"{""kernel"": ""squaredexponential""}"
a*,14,selected,cars,150,knn,a_/SELECTED_20260508_072832,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""uniform""}"
a*,15,selected,cars,150,cnn,a_/SELECTED_20260508_072832,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,16,selected,cars,150,xgb,a_/SELECTED_20260508_072832,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
a*,17,selected,pca,40,pls,a_/SELECTED_20260508_075430,"{""cv_fold"": 10, ""n_components"": 3}"
a*,18,selected,pca,40,pcr,a_/SELECTED_20260508_075430,"{""n_components"": 12}"
a*,19,selected,pca,40,svr,a_/SELECTED_20260508_075430,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,20,selected,pca,40,rf,a_/SELECTED_20260508_075430,"{""min_samples_leaf"": 1, ""n_estimators"": 200}"
a*,21,selected,pca,40,gpr,a_/SELECTED_20260508_075430,"{""kernel"": ""squaredexponential""}"
a*,22,selected,pca,40,knn,a_/SELECTED_20260508_075430,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,23,selected,pca,40,cnn,a_/SELECTED_20260508_075430,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,24,selected,pca,40,xgb,a_/SELECTED_20260508_075430,"{""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 200}"
a*,25,selected,pca,80,pls,a_/SELECTED_20260508_081846,"{""cv_fold"": 10, ""n_components"": 2}"
a*,26,selected,pca,80,pcr,a_/SELECTED_20260508_081846,"{""n_components"": 19}"
a*,27,selected,pca,80,svr,a_/SELECTED_20260508_081846,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,28,selected,pca,80,rf,a_/SELECTED_20260508_081846,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,29,selected,pca,80,gpr,a_/SELECTED_20260508_081846,"{""kernel"": ""squaredexponential""}"
a*,30,selected,pca,80,knn,a_/SELECTED_20260508_081846,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,31,selected,pca,80,cnn,a_/SELECTED_20260508_081846,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,32,selected,pca,80,xgb,a_/SELECTED_20260508_081846,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,33,selected,pca,120,pls,a_/SELECTED_20260508_084653,"{""cv_fold"": 10, ""n_components"": 2}"
a*,34,selected,pca,120,pcr,a_/SELECTED_20260508_084653,"{""n_components"": 20}"
a*,35,selected,pca,120,svr,a_/SELECTED_20260508_084653,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,36,selected,pca,120,rf,a_/SELECTED_20260508_084653,"{""min_samples_leaf"": 1, ""n_estimators"": 100}"
a*,37,selected,pca,120,gpr,a_/SELECTED_20260508_084653,"{""kernel"": ""matern32""}"
a*,38,selected,pca,120,knn,a_/SELECTED_20260508_084653,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,39,selected,pca,120,cnn,a_/SELECTED_20260508_084653,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,40,selected,pca,120,xgb,a_/SELECTED_20260508_084653,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
