property_name,rank,feature_selection,fs_param,original_feature_count,selected_feature_count,r2,rmse,mae,rpd,result_dir,prediction_table_path,metrics_path,training_history_path,run_config_path,selected_feature_idx_json
a*,1,cars,10,2048,10,-0.3356766700744629,2.66065335775456,2.438436,0.8652653768368146,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_173938_a_\run_config.json,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1]"
a*,2,cars,20,2048,20,-0.33565962314605713,2.660636421593096,2.4384162,0.8652708846446503,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174549_a_\run_config.json,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166]"
a*,3,cars,30,2048,30,-0.33567655086517334,2.660653268145524,2.4384358,0.8652654059783782,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_174837_a_\run_config.json,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166, 246, 265, 50, 83, 23, 379, 234, 199, 362, 155]"
a*,4,cars,40,2048,40,-0.33567678928375244,2.660653447363593,2.438436,0.865265347695254,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175132_a_\run_config.json,"[439, 158, 429, 278, 258, 440, 207, 2, 0, 1, 91, 65, 430, 122, 215, 2041, 2045, 2046, 2047, 166, 246, 265, 50, 83, 23, 379, 234, 199, 362, 155, 286, 203, 291, 358, 206, 75, 157, 192, 290, 301]"
a*,5,pca,10,2048,10,-0.3357698917388916,2.660746191094993,2.4385445,0.865235187758443,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_175919_a_\run_config.json,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031]"
a*,6,pca,20,2048,20,-0.4009057283401489,2.7248467673518992,1.8139333,0.844880988470777,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181025_a_\run_config.json,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015]"
a*,7,pca,30,2048,30,-0.3357440233230591,2.6607203844682648,2.4385145,0.8652435797719941,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_181733_a_\run_config.json,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015, 1053, 1021, 1008, 1028, 1018, 1051, 1026, 1014, 1013, 1023]"
a*,8,pca,40,2048,40,-0.33567631244659424,2.6606530889274422,2.4384353,0.8652654642615144,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182027_a_\run_config.json,"[1453, 1010, 1030, 1036, 1040, 1027, 1016, 1034, 1033, 1031, 1035, 1032, 1024, 1074, 1025, 1022, 1017, 1009, 1020, 1015, 1053, 1021, 1008, 1028, 1018, 1051, 1026, 1014, 1013, 1023, 1047, 1004, 1011, 1038, 1019, 1001, 1029, 1042, 1108, 1037]"
a*,9,corr_topk,10,2048,10,-0.33567655086517334,2.660653268145524,2.4384358,0.8652654059783782,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_182313_a_\run_config.json,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584]"
a*,10,corr_topk,20,2048,20,-0.802836537361145,3.0911195920469376,2.1903405,0.7447693826420959,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_\prediction_table.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_\metrics.json,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_\training_history.csv,D:\HXR\NIR\python_nir_project\result\pinn\20260509_183708_a_\run_config.json,"[546, 569, 543, 566, 576, 535, 565, 575, 573, 584, 525, 585, 534, 570, 563, 568, 544, 579, 578, 547]"
